-342 52 
-337 36 

748 96 
730 136 

-354 -311 
-372 -269 

345 -204 
325 -176 

386 118 
459 161 

-748 213 
-790 208 

-58 -674 
-105 -754 

-537 131 
-447 104 

-201 737 
-179 697 

-223 -242 
-198 -261 

412 332 
425 307 

440 -113 
419 -50 

258 -433 
248 -426 

-305 -845 
-269 -812 

-332 -375 
-315 -340 

378 -42 
358 -19 

-61 -277 
-15 -233 

175 141 
204 64 

-718 -655 
-659 -683 

-48 -100 
-82 -94 

-409 722 
-355 635 

-104 -429 
-133 -441 

711 -304 
687 -302 

-400 -87 
-409 -148 

-4 257 
2 219 

-529 -241 
-521 -234 

-778 475 
-749 554 

-664 -615 
-659 -683 

-157 509 
-192 400 

336 303 
298 321 

628 -216 
609 -162 

-699 767 
-833 604 

686 -179 
609 -162 

-228 -442 
-162 -407 

331 -480 
334 -540 

-239 243 
-266 260 

12 342 
29 336 

535 41 
569 37 

291 390 
298 321 

-478 -759 
-324 -691 

-116 -339 
-126 -300 

-711 -349 
-740 -335 

-396 -416 
-429 -423 

76 -32 
69 -60 

282 435 
327 475 

-45 -372 
-39 -378 

-51 541 
-30 575 

-121 327 
-99 350 

-157 68 
-234 107 

-793 47 
-694 88 

242 176 
278 115 

-190 54 
-234 107 

-194 -90 
-182 -91 

-35 -291 
-67 -341 

-444 33 
-447 104 

32 -153 
-12 -199 

-356 5 
-337 36 

-14 13 
22 42 

-316 -805 
-269 -812 

-316 -62 
-335 -71 

90 602 
114 567 

34 -384 
29 -437 

210 25 
207 -13 

-696 -180 
-690 -191 

-566 -498 
-628 -394 

175 -350 
228 -357 

57 56 
65 49 

-201 231 
-209 208 

138 -57 
175 -36 

440 -239 
479 -243 

-496 -403 
-480 -355 

-46 -245 
-15 -233 

243 162 
278 115 

-579 627 
-471 549 

361 -782 
376 -762 

325 -303 
228 -357 

-69 634 
-30 635 

144 725 
30 798 

-170 -544 
-169 -563 

443 -476 
486 -475 

-531 104 
-447 104 

-151 -281 
-153 -290 

414 -334 
422 -372 

-613 201 
-618 259 

299 41 
327 41 

-771 -556 
-659 -683 

441 -158 
416 -178 

111 217 
104 226 

52 470 
78 464 

700 -242 
687 -302 

128 205 
104 226 

139 -167 
155 -159 

239 235 
298 321 

-712 175 
-751 158 

-423 260 
-407 203 

30 269 
47 302 

-201 -17 
-187 -61 

280 317 
298 321 

-482 -429 
-449 -440 

222 -256 
143 -218 

574 578 
535 520 

8 295 
47 302 

769 -725 
852 -730 

681 -119 
759 -114 

-719 -317 
-740 -335 

308 265 
298 321 

170 483 
205 517 

239 206 
278 115 

-442 379 
-465 420 

-113 -200 
-150 -170 

-475 103 
-447 104 

-383 391 
-465 420 

200 109 
204 64 

723 334 
700 296 

561 -10 
569 37 

-252 -35 
-271 12 

331 -128 
325 -176 

-335 819 
-355 635 

746 748 
646 551 

-94 -90 
-82 -94 

214 -387 
228 -357 

393 533 
327 475 

468 753 
427 615 

15 -127 
-32 -146 

709 212 
663 216 

65 563 
114 567 

304 -178 
325 -176 

-198 -38 
-187 -61 

103 -344 
73 -296 

226 97 
204 64 

8 -89 
9 -57 

-79 368 
-99 350 

177 3 
175 -2 

-37 700 
-71 736 

-66 -228 
-15 -233 

-394 103 
-360 107 

15 -146 
-32 -146 

596 -417 
693 -431 

155 276 
108 256 

278 -647 
239 -596 

577 -7 
569 37 

-21 -249 
-15 -233 

-786 648 
-833 604 

-389 -469 
-419 -454 

-489 514 
-471 549 

336 8 
327 41 

-409 -137 
-409 -148 

-367 -28 
-335 -71 

277 -603 
271 -577 

657 169 
663 216 

24 45 
22 42 

-431 -92 
-409 -148 

609 483 
663 453 

167 84 
204 64 

479 628 
427 615 

-485 617 
-471 549 

-83 -248 
-126 -300 

-189 447 
-192 400 

-612 118 
-694 88 

716 -314 
687 -302 

-258 270 
-266 260 

11 372 
29 336 

-698 250 
-618 259 

-400 313 
-316 261 

-118 -611 
-169 -563 

283 -472 
248 -426 

-672 277 
-618 259 

-682 -631 
-659 -683 

-221 -326 
-198 -360 

643 281 
623 263 

46 114 
57 149 

-250 -188 
-246 -181 

140 324 
108 256 

-259 -257 
-258 -276 

-503 113 
-447 104 

-18 -125 
-32 -146 

122 -448 
127 -474 

243 709 
285 762 

-636 584 
-749 554 

249 745 
285 762 

-50 461 
-19 472 

273 -239 
325 -176 

576 -416 
486 -475 

356 -384 
422 -372 

360 243 
428 209 

0 -460 
29 -437 

-226 126 
-234 107 

-129 61 
-88 12 

-59 -488 
-86 -469 

-276 336 
-266 260 

-854 -494 
-825 -330 

-269 -19 
-271 12 

-711 -306 
-740 -335 

177 302 
108 256 

61 -26 
69 -60 

-347 754 
-355 635 

-148 160 
-145 185 

186 228 
104 226 

-583 -164 
-519 -134 

152 239 
108 256 

394 -621 
378 -706 

871 226 
802 333 

461 -487 
486 -475 

531 -644 
543 -661 

-819 -337 
-825 -330 

-636 -299 
-618 -247 

-430 280 
-468 220 

58 163 
57 149 

-196 726 
-179 697 

575 254 
623 263 

448 445 
415 434 

682 66 
730 136 

-980 582 
-907 549 

-82 166 
-81 142 

-477 -438 
-449 -440 

-387 34 
-337 36 

-380 91 
-360 107 

360 -474 
399 -491 

-240 491 
-192 400 

-524 305 
-569 334 

-418 529 
-471 549 

170 -12 
175 -2 

142 -76 
175 -36 

276 172 
278 115 

-283 35 
-288 56 

-392 -763 
-324 -691 

884 458 
815 484 

-419 504 
-363 476 

-349 -336 
